Sun Jan  8 12:11:03 2023    profile_job

         97828 function calls (96635 primitive calls) in 55.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5054    0.002    0.000    0.002    0.000 job_center.py:92(<lambda>)
       19    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:598(_code)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:732(__init__)
      293    0.002    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:32(__init__)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:10(<module>)
      463    0.001    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:658(time)
   183/19    0.001    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_compile.py:71(_compile)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/subprocess.py:1550(_execute_child)
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/decoder.py:1(<module>)
      422    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:1(<module>)
       15    0.001    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/collections/__init__.py:313(namedtuple)
        7    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:64(_make_socket_transport)
        7    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:752(__init__)
        4    0.000    0.000    0.002    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:152(_accept_connection)
       62    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/linecache.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/typing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/json/scanner.py:1(<module>)
      995    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       13    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:451(<listcomp>)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      108    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/random.py:285(choice)
      370    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      221    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/selectors.py:275(_key_from_fd)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/tokenize.py:1(<module>)
      371    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       24    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/base_events.py:424(create_task)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/events.py:1(<module>)
        9    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:255(_add_reader)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/runners.py:53(_cancel_all_tasks)
        7    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:740(_add_reader)
      224    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/streams.py:233(_stream_reader)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/signal.py:1(<module>)
      307    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:64(__setitem__)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:161(print_exc)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:87(print_exception)
       11    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/socket.py:285(accept)
      798    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:254(get)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/unix_events.py:1(<module>)
      972    0.001    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:233(__next)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/logging/__init__.py:441(StrFormatStyle)
      544    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
